Event Category,Event Name,Event Description,Event Properties,Property Type,Property Description,Priority,Implementation Location
Goals,goal_creation_started,User starts creating goal,"goal_source, page_source",String/String,Goal initiation,High,create-goal.html
Goals,goal_created,User successfully creates goal,"goal_name, goal_type, target_amount, target_date, monthly_investment",String/String/Float/Date/Float,Goal creation,Critical,create-goal.html
Goals,goal_viewed,User views goal details,"goal_name, progress_percentage, remaining_amount",String/Float/Float,Goal tracking,Medium,goal-detail.html
Goals,goal_edited,User edits goal,"goal_name, field_edited, old_value, new_value",String/String/String/String,Goal modification,Medium,goal-detail.html
Goals,goal_deleted,User deletes goal,"goal_name, goal_progress, reason",String/Float/String,Goal deletion,Medium,goal-detail.html
Goals,goal_investment_added,Investment added to goal,"goal_name, amount, fund_name",String/Float/String,Goal funding,High,goal-detail.html

Withdrawal,withdrawal_initiated,User starts withdrawal process,"source_page, total_balance",String/Float,Withdrawal start,High,withdraw-funds-step1-overlay.html
Withdrawal,withdrawal_amount_entered,User enters withdrawal amount,"amount, withdrawal_type, fund_name",Float/String/String,Amount selection,High,withdraw-funds-step2-v2.html
Withdrawal,withdrawal_confirmed,User confirms withdrawal,"amount, fund_name, bank_account",Float/String/String,Withdrawal confirmation,Critical,withdraw-funds-step3.html
Withdrawal,withdrawal_completed,Withdrawal successfully processed,"amount, fund_name, processing_time",Float/String/Integer,Withdrawal success,Critical,withdraw-funds-success.html
Withdrawal,withdrawal_cancelled,User cancels withdrawal,"amount, cancellation_stage, reason",Float/String/String,Withdrawal cancel,Medium,withdraw-funds-*.html

Engagement,calculator_used,User uses investment calculator,"calculator_type, input_amount, calculated_result",String/Float/Float,Tool usage,Medium,calculators/*.html
Engagement,referral_clicked,User clicks on referral CTA,"cta_location, page_source",String/String,Referral interest,High,index.html/menu.html
Engagement,referral_code_shared,User shares referral code,"share_method, page_source",String/String,Referral sharing,High,referral.html
Engagement,support_contacted,User contacts support,"contact_method, issue_category, page_source",String/String/String,Support request,Medium,menu.html
Engagement,faq_viewed,User views FAQ,"faq_category, question_viewed",String/String,Help usage,Low,support.html
Engagement,app_rated,User rates the app,"rating, feedback_text, page_source",Integer/String/String,App feedback,Medium,menu.html
Engagement,notification_clicked,User clicks on notification,"notification_type, notification_content",String/String,Notification engagement,Medium,Various
Engagement,menu_opened,User opens navigation menu,"page_source, session_time",String/Integer,Navigation,Low,All pages
Engagement,search_performed,User performs search,"search_query, search_type, results_count",String/String/Integer,Search usage,Medium,mutual-funds.html

Session,session_started,New session begins,"session_source, device_type, referrer",String/String/String,Session tracking,High,All pages
Session,session_ended,Session ends,"session_duration, pages_viewed, actions_count",Integer/Integer/Integer,Session tracking,High,All pages
Session,app_opened,App opened/launched,"launch_source, time_since_last_open",String/Integer,App launch,High,index.html
Session,app_backgrounded,App goes to background,"session_duration, last_page",Integer/String,App state,Low,All pages

Revenue,revenue_generated,Revenue event for investments,"amount, product_type, payment_method",Float/String/String,Revenue tracking,Critical,payment-success.html
Revenue,revenue_lost,Lost revenue from failures,"amount, failure_reason, product_type",Float/String/String,Revenue loss,High,payment-failed.html

Errors,error_occurred,Application error occurred,"error_type, error_message, page_source, stack_trace",String/String/String/String,Error tracking,High,All pages
Errors,api_error,API call failed,"endpoint, error_code, error_message",String/Integer/String,API failures,High,All pages
Errors,payment_error,Payment processing error,"payment_method, error_code, amount",String/String/Float,Payment failures,Critical,Payment pages

User Properties,user_id,Unique user identifier,phone_number,String,Primary identifier,Critical,Set after OTP
User Properties,user_type,Type of investor,new/existing,String,User classification,Critical,Set after PAN
User Properties,kyc_status,KYC completion status,pending/completed/failed,String,Compliance status,Critical,Update on KYC changes
User Properties,total_invested,Total amount invested,Numeric value,Float,Investment tracking,High,Update on investment
User Properties,portfolio_value,Current portfolio value,Numeric value,Float,Portfolio tracking,High,Update daily
User Properties,active_sips,Number of active SIPs,Count,Integer,SIP tracking,Medium,Update on SIP changes
User Properties,goals_count,Number of goals created,Count,Integer,Goal tracking,Medium,Update on goal changes
User Properties,risk_profile,User's risk profile,conservative/moderate/aggressive,String,Risk assessment,Medium,Set after assessment
User Properties,preferred_payment,Preferred payment method,UPI/NetBanking/Debit,String,Payment preference,Low,Update on payment
User Properties,referral_code,User's referral code,Alphanumeric code,String,Referral tracking,Medium,Set on account creation
User Properties,signup_date,Date of registration,ISO Date,Date,Cohort analysis,High,Set on signup
User Properties,first_investment_date,Date of first investment,ISO Date,Date,Activation tracking,High,Set on first investment
User Properties,last_active_date,Last activity date,ISO Date,Date,Engagement tracking,Medium,Update on activity
User Properties,app_version,App version being used,Version string,String,Version tracking,Low,Update on app launch
User Properties,device_type,Type of device,iOS/Android/Web,String,Device tracking,Medium,Set on first launch

Implementation Notes,SDK Setup,Add Amplitude SDK to all HTML files in <head> section,,,,Critical,All HTML files
Implementation Notes,Initialize,Initialize with API key on page load,,,,Critical,All HTML files
Implementation Notes,User ID,Set user ID after OTP verification using phone number,,,,Critical,auth.html
Implementation Notes,Session Management,Track session start/end using localStorage,,,,High,All pages
Implementation Notes,Error Handling,Wrap all tracking calls in try-catch,,,,High,All tracking points
Implementation Notes,Testing,Use separate API keys for dev/staging/production,,,,Critical,Configuration
Implementation Notes,Privacy,Never send full PAN or sensitive bank details,,,,Critical,All tracking points
Implementation Notes,Debugging,Enable verbose logging in development environment,,,,Medium,Development only
